0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,304,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SET,Loop,5,,,,,
0,:RndAttack,,,,,,,
0,HeartMaxFallSpeed,150,
0,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.4,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,JMPZ,End,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,5,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPABS,Attack0,,,,,,
0,JMPABS,Attack1,,,,,,
0,JMPABS,Attack2,,,,,,
0,JMPABS,Attack3,,,,,,
0,JMPABS,Attack4,,,,,,
0,:Attack0,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,BoneVRepeat,128,341,45,0,240,4,16
0,BoneV,64,286,100,0,240,,
0,BoneVRepeat,512,341,45,2,240,4,16
0,BoneV,576,286,100,2,240,,
0.4,BlackScreen,1
0,BoneStab,3,80,0,100
0.2,BlackScreen,0
0.5,JMPABS,RndAttack,,,,,,
0,:Attack1,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,GasterBlaster,1,0,0,324,0,90,0.1,0.3,2,
0,RND,SideOther,2,,,,,
0,JMPZ,Attack1Other,$SideOther,,,,,
0.7,BoneV,128,286,100,0,240,1,
0,BoneV,56,366,20,0,240,0,
0,BoneV,24,286,100,0,240,0,
0,BoneV,584,366,20,2,240,0,
0,BoneV,616,286,100,2,240,0,
1,JMPABS,RndAttack,,,,,,
0,:Attack1Other,
0.7,BoneV,512,286,100,2,240,2,
0,BoneV,56,366,20,0,240,0,
0,BoneV,24,286,100,0,240,0,
0,BoneV,584,366,20,2,240,0,
0,BoneV,616,286,100,2,240,0,
1,JMPABS,RndAttack,,,,,,
0,:Attack2,,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,,,
0.5,SansSlam,0,
0,HeartMaxFallSpeed,1,
0.5,CombatZoneResize,133,251,139,391,
0.5,CombatZoneResize,133,251,508,391,
1,GasterBlaster,2.9,0,0,508,321,180,0.25,0.5,
1,GasterBlaster,1,0,0,508,356,180,0.25,0.5,
0,GasterBlaster,1,0,0,508,286,180,0.25,0.5,
1,JMPABS,RndAttack,,,,,,
0,:Attack3,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,GasterBlaster,0,0,0,324,0,90,0.25,100
0,BoneVRepeat,200,282,70,0,150,6,125
0,BoneVRepeat,200,371,15,0,150,6,125
0,BoneVRepeat,440,282,70,2,150,6,125
0,BoneVRepeat,440,371,15,2,150,6,125
3.7,JMPABS,RndAttack,,,,,,
0,:Attack4,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartMode,1,,,,,,
0,RND,Side,2,,,,,
0,JMPZ,Attack4Other,$Side,,,,,
0,HeartTeleport,506,376,,,,,
0,BoneVRepeat,200,331,55,0,360,11,24
0,BoneVRepeat,-64,371,15,0,360,10,24
0,GasterBlaster,2.9,0,0,400,0,90,0.75,1
1.5,JMPABS,RndAttack,,,,,,
0,:Attack4Other,,,,,,,
0,HeartTeleport,149,376,,,,,
0,BoneVRepeat,440,331,55,2,360,11,24
0,BoneVRepeat,704,371,15,2,360,10,24
0,GasterBlaster,2.9,0,0,240,0,90,0.75,1
1.5,JMPABS,RndAttack,,,,,,
0,:End,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,
0,EndAttack,,,,,,,

