0,SansAnimation,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,
0,SansText,ready?,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,SansBody,HandDown,
0.26666,SansSlam,1,
0.3,SansBody,HandUp,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0,SansSlam,3,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,BoneStab,3,50,0.16666,0.75,,,,
1,SansSlam,0,
0,SansBody,HandRight,
0.5,BoneStab,0,50,0.16666,0.75,,,,
1,SansSlam,2,
0.5,BoneStab,2,50,0.16666,0.75,,,,
0,SansBody,HandLeft,
1,SansSlam,0,
0,SansBody,HandRight,
0.5,BoneStab,0,50,0.16666,0.75,,,,
0,SansSlam,3,,,,,,,
0.5,SansBody,HandDown,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,BoneStab,3,50,0.16666,0.75,,,,
1,SansSlam,0,
0,SansBody,HandRight,
0.5,BoneStab,0,50,0.16666,0.75,,,,
1,SansSlam,2,
0.5,BoneStab,2,50,0.16666,0.75,,,,
0,SansBody,HandLeft,
1,SansSlam,0,
0,SansBody,HandRight,
0.5,BoneStab,0,50,0.16666,0.75,,,,
0.7,HeartMode,0,,,,,,,
0,CombatZoneResize,33,251,500,391,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0.4,Sound,GasterBlaster,1.4,,,,,,
0,SansSlam,2
0.4,SineBones,60,-24,250,25,,,,
7.5,HeartMode,0,
0,CombatZoneResize,239,226,404,391,,,,
0,SansAnimation,
1,BoneStab,1,110,0.2,2
1,BoneV,230,220,50,0,60,0,
1,BoneV,230,220,50,0,500,1,
0.5,BoneV,230,220,50,0,550,1,
1.5,BoneStab,3,110,0.2,1
1,GasterBlaster,2.9,0,0,250,0,90,0.2,1
0,GasterBlaster,2.9,0,0,390,0,90,0.2,1
2.1,SansSlam,0,
0.5,BoneStab,0,50,0.16666,0.75,,,,
1,SansSlam,1,
0.5,BoneStab,1,50,0.16666,0.75,,,,
0,BoneStab,0,50,0.16666,0.75,,,,
1,SansSlam,3,
0.5,BoneStab,3,50,0.16666,0.75,,,,
0,BoneStab,2,50,0.16666,0.75,,,,
1,SansSlam,1,
0.5,BoneStab,3,130,0.2,0.8,1,,,
2,SansSlam,3,
0.5,BoneStab,1,130,0.16666,0.75,,,,
0,BoneStab,2,130,0.16666,0.75,1,,,
2.1,SansAnimation,,,,,,,,
0,HeartMode,0,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.7,GasterBlaster,2,0,240,139,306,0,0.666,0.5
0,GasterBlaster,2,640,240,499,306,180,0.666,0.5
2,GasterBlaster,0,0,0,321,309,0,0.333,0.5
0,GasterBlaster,0,0,0,321,309,45,0.333,0.5
0,GasterBlaster,0,0,0,321,309,90,0.333,0.5
0,GasterBlaster,0,0,0,321,309,135,0.333,0.5
0,GasterBlaster,0,0,0,321,309,180,0.333,0.5
0,GasterBlaster,0,0,0,321,309,225,0.333,0.5
0,GasterBlaster,0,0,0,321,309,270,0.333,0.5
0,GasterBlaster,0,0,0,321,309,315,0.333,0.5
2,GasterBlaster,0,0,0,321,309,22.5,0.333,0.5
0,GasterBlaster,0,0,0,321,309,67.5,0.333,0.5
0,GasterBlaster,0,0,0,321,309,112.5,0.333,0.5
0,GasterBlaster,0,0,0,321,309,157.5,0.333,0.5
0,GasterBlaster,0,0,0,321,309,202.5,0.333,0.5
0,GasterBlaster,0,0,0,321,309,247.5,0.333,0.5
0,GasterBlaster,0,0,0,321,309,292.5,0.333,0.5
0,GasterBlaster,0,0,0,321,309,337.5,0.333,0.5
2,CombatZoneResizeInstant,239,226,404,391,,,,
0,GasterBlaster,0,0,0,0,160,0,0.2,2
0,GasterBlaster,0,0,0,0,240,0,0.2,2
0,GasterBlaster,0,0,0,0,320,0,0.2,2
0,GasterBlaster,0,0,0,0,400,0,0.2,2
0,GasterBlaster,0,0,0,160,0,90,0.2,2
0,GasterBlaster,0,0,0,240,0,90,0.2,2
0,GasterBlaster,0,0,0,320,0,90,0.2,2
0,GasterBlaster,0,0,0,400,0,90,0.2,2
2.5,SansHead,Default,,,,,,,
0,SansText,here we go.,,,,,,,
0,EndAttack,,,,,,,,
