0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,PlatformRepeat,552,346,5,2,120,25,140,
0,PlatformRepeat,-20,306,5,0,120,25,160,
0,BoneStab,0,100,0.1,25
0,BoneStab,2,100,0.1,25
0,SET,Loop,4,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,GasterBlaster,0,0,0,73,285,0,0.56666,3
0,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,GasterBlaster,0,640,0,563,370,180,0.56666,3
3,JMPNZ,10,$Loop,,,,,,
0,EndAttack,,,,,,,,
